,NOX,RM,DIS,RAD,TAX,PTRATIO,B,MEDV,nCRIM,nZN,nINDUS,nCHAS,nAGE,nLSTAT
246,0.431,6.108,8.0555,7,330,19.1,390.18,24.3,0.33983,22.0,5.86,0.0,34.9,9.16
247,0.431,6.226,8.0555,7,330,19.1,376.14,20.5,0.19657,22.0,5.86,0.0,79.2,10.15
248,0.431,6.433,7.8265,7,330,19.1,374.71,24.5,0.16439,22.0,5.86,0.0,49.1,9.52
249,0.431,6.718,7.8265,7,330,19.1,393.74,26.2,0.19073,22.0,5.86,0.0,17.5,6.56
250,0.431,6.487,7.3967,7,330,19.1,396.28,24.4,0.1403,22.0,5.86,0.0,13.0,5.9
251,0.431,6.438,7.3967,7,330,19.1,377.07,24.8,0.21409,22.0,5.86,0.0,8.9,3.59
252,0.431,6.957,8.9067,7,330,19.1,386.09,29.6,0.08221,22.0,5.86,0.0,6.8,3.53
253,0.431,8.259,8.9067,7,330,19.1,396.9,42.8,0.36894,22.0,5.86,0.0,8.4,3.54
254,0.392,6.108,9.2203,1,315,16.4,392.89,21.9,0.04819,80.0,3.64,0.0,32.0,6.57
255,0.392,5.876,9.2203,1,315,16.4,395.18,20.9,0.03548,80.0,3.64,0.0,19.1,9.25
256,0.394,7.454,6.3361,3,244,15.9,386.34,44.0,0.01538,90.0,3.75,0.0,34.2,3.11
257,0.647,8.704,1.801,5,264,13.0,389.7,50.0,0.61154,20.0,3.97,0.0,86.9,5.12
258,0.647,7.333,1.8946,5,264,13.0,383.29,36.0,0.66351,20.0,3.97,0.0,100.0,7.79
259,0.647,6.842,2.0107,5,264,13.0,391.93,30.1,0.65665,20.0,3.97,0.0,100.0,6.9
260,0.647,7.203,2.1121,5,264,13.0,392.8,33.8,0.54011,20.0,3.97,0.0,81.8,9.59
261,0.647,7.52,2.1398,5,264,13.0,388.37,43.1,0.53412,20.0,3.97,0.0,89.4,7.26
262,0.647,8.398,2.2885,5,264,13.0,386.86,48.8,0.7497461093907423,20.0,3.97,0.0,91.5,5.91
263,0.647,7.327,2.0788,5,264,13.0,393.42,31.0,0.82526,20.0,3.97,0.0,94.5,11.25
264,0.647,7.206,1.9301,5,264,13.0,387.89,36.5,0.55007,20.0,3.97,0.0,91.6,8.1
265,0.647,5.56,1.9865,5,264,13.0,392.4,22.8,0.76162,20.0,3.97,0.0,62.8,10.45
266,0.647,7.014,2.1329,5,264,13.0,384.07,30.7,0.7857,20.0,3.97,0.0,84.6,14.79
267,0.575,8.297,2.4216,5,264,13.0,384.54,50.0,0.57834,20.0,3.97,0.0,67.0,7.44
268,0.575,7.47,2.872,5,264,13.0,390.3,43.5,0.5405,20.0,3.97,0.0,52.6,3.16
269,0.464,5.92,3.9175,3,223,18.6,391.34,20.7,0.09065,20.0,6.96,1.0,61.5,13.65
270,0.464,5.856,4.429,3,223,18.6,388.65,21.1,0.29916,20.0,6.96,0.0,42.1,13.0
271,0.464,6.24,4.429,3,223,18.6,396.9,25.2,0.16211,20.0,6.96,0.0,16.3,9.958523197675342
272,0.464,6.538,3.9175,3,223,18.6,394.96,24.4,0.1146,20.0,6.96,0.0,58.7,7.73
273,0.464,7.691,4.3665,3,223,18.6,390.77,35.2,0.22188,20.0,6.96,1.0,51.8,6.58
274,0.447,6.758,4.0776,4,254,17.6,396.9,32.4,0.05644,40.0,6.41,1.0,32.9,3.53
275,0.447,6.854,4.2673,4,254,17.6,396.9,32.0,0.09604,40.0,6.41,0.0,42.8,2.98
276,0.447,7.267,4.7872,4,254,17.6,389.25,33.2,0.10469,40.0,6.41,1.0,49.0,6.05
277,0.447,6.826,4.8628,4,254,17.6,393.45,33.1,0.06127,40.0,6.41,1.0,27.6,7.745237226592513
278,0.447,6.482,4.1403,4,254,17.6,396.9,29.1,0.07978,40.0,6.41,0.0,32.1,7.19
279,0.4429,6.812,4.1007,5,216,14.9,396.9,35.1,0.21038,20.0,3.33,0.0,32.2,4.85
280,0.4429,7.82,4.6947,5,216,14.9,387.31,45.4,0.03578,20.0,3.33,0.0,64.5,3.76
281,0.4429,6.968,5.2447,5,216,14.9,392.23,35.4,0.03705,20.0,3.33,0.0,69.30795188965939,4.59
282,0.4429,7.645,5.2119,5,216,14.9,377.07,46.0,0.06129,20.0,3.33,1.0,49.7,3.01
283,0.401,7.923,5.885,1,198,13.6,395.52,50.0,0.01501,90.0,1.21,1.0,24.8,3.16
284,0.4,7.088,7.3073,1,285,15.3,394.72,32.2,0.00906,90.0,2.97,0.0,20.8,7.85
285,0.389,6.453,7.3073,1,300,15.3,394.72,22.0,0.01096,55.0,2.25,0.0,31.9,8.23
286,0.385,6.23,9.0892,1,241,18.2,341.6,20.1,0.01965,80.0,1.76,0.0,30.042748647268418,12.93
287,0.405,6.209,7.3172,6,293,16.6,396.9,23.2,0.03871,52.5,5.32,0.0,31.3,7.14
288,0.405,6.315,7.3172,6,293,16.6,396.9,22.3,0.04832401856208744,52.5,5.32,0.0,45.6,7.6
289,0.405,6.565,7.3172,6,293,16.6,371.72,24.8,0.04297,52.5,5.32,0.0,22.9,9.51
290,0.411,6.861,5.1167,4,245,19.2,396.9,28.5,0.03502,80.0,4.95,0.0,27.9,3.33
291,0.411,7.148,5.1167,4,245,19.2,396.9,37.3,0.07886,80.0,4.95,0.0,27.7,3.56
292,0.411,6.63,5.1167,4,245,19.2,396.9,27.9,0.03615,80.0,4.95,0.0,23.4,4.7
293,0.437,6.127,5.5027,4,289,16.0,396.9,23.9,0.08265,0.0,13.92,0.0,18.4,8.58
294,0.437,6.009,5.5027,4,289,16.0,396.9,21.7,0.08199,0.0,13.92,0.0,42.3,10.4
295,0.437,6.678,5.9604,4,289,16.0,396.9,28.6,0.12932,0.0,13.92,0.0,31.1,6.27
296,0.437,6.549,5.9604,4,289,16.0,392.85,27.1,0.05372,0.0,13.92,0.0,51.0,7.39
297,0.437,5.79,6.32,4,289,16.0,396.9,20.3,0.14103,0.0,13.92,0.0,58.0,15.84
298,0.4,6.345,7.8278,5,358,14.8,368.24,22.5,0.06466,70.0,2.24,0.0,20.1,4.97
299,0.4,7.041,7.8278,5,358,14.8,371.58,29.0,0.05561,70.0,2.24,0.0,10.0,4.74
300,0.4,6.871,7.8278,5,358,14.8,390.86,24.8,0.04417,70.0,2.24,0.0,47.4,6.07
301,0.433,6.59,5.4917,7,329,16.1,395.75,22.0,0.03537,70.0,6.09,0.0,40.4,9.5
302,0.433,6.495,5.4917,7,329,16.1,383.61,26.4,0.07568293702134907,34.0,6.09,0.0,18.4,8.67
303,0.433,6.982,5.4917,7,329,16.1,390.43,33.1,0.1,34.0,6.09,0.0,17.7,4.86
304,0.472,7.236,4.022,7,222,18.4,393.68,36.1,0.05515,33.0,2.18,0.0,41.1,6.93
305,0.472,6.616,3.37,7,222,18.4,393.36,28.4,0.05479,33.0,2.18,0.0,58.1,8.93
306,0.472,7.42,3.0992,7,222,18.4,396.9,33.4,0.07503,33.0,2.18,0.0,71.9,6.47
307,0.472,6.849,3.1827,7,222,18.4,396.9,28.2,0.04932,33.0,2.18,0.0,70.3,7.53
308,0.544,6.635,3.3175,4,304,18.4,396.9,22.8,0.49298,0.0,9.9,0.0,82.5,4.54
309,0.544,5.972,3.1025,4,304,18.4,396.24,20.3,0.3494,0.0,9.9,0.0,76.7,9.97
310,0.544,4.973,2.5194,4,304,18.4,350.45,16.1,2.63548,0.0,9.9,0.0,37.8,12.64
311,0.544,6.122,2.6403,4,304,18.4,396.9,22.1,0.79041,0.0,9.9,0.0,52.8,5.98
312,0.544,6.023,2.834,4,304,18.4,396.3,19.4,0.26169,0.0,9.9,0.0,90.4,11.72
313,0.544,6.266,3.2628,4,304,18.4,393.39,21.6,0.26938,0.0,9.9,0.0,82.8,7.9
314,0.544,6.567,3.6023,4,304,18.4,395.69,23.8,0.3692,0.0,9.9,0.0,87.3,9.28
315,0.544,5.705,3.945,4,304,18.4,396.42,16.2,0.25356,0.0,9.9,0.0,77.7,11.5
316,0.544,5.914,3.9986,4,304,18.4,390.7,17.8,0.31827,0.0,9.9,0.0,73.07736795244176,18.33
317,0.544,5.782,4.0317,4,304,18.4,396.9,19.8,0.24522,0.0,9.9,0.0,71.7,15.94
318,0.544,6.382,3.5325,4,304,18.4,395.21,23.1,0.40202,0.0,9.9,0.0,67.2,10.36
319,0.544,6.113,4.0019,4,304,18.4,396.23,21.0,0.47547,0.0,9.9,0.0,58.8,12.73
320,0.493,6.426,4.5404,5,287,19.6,396.9,23.8,0.1676,0.0,7.38,0.0,52.3,7.2
321,0.493,6.376,4.5404,5,287,19.6,396.9,23.1,0.18159,0.0,7.38,0.0,54.3,6.87
322,0.493,6.041,4.7211,5,287,19.6,396.9,20.4,0.35114,0.0,7.38,0.0,49.9,7.7
323,0.493,5.708,4.7211,5,287,19.6,391.13,18.5,0.28392,0.0,7.38,0.0,74.3,11.74
324,0.493,6.415,4.7211,5,287,19.6,396.9,25.0,0.34109,0.0,7.38,0.0,40.1,6.12
325,0.493,6.431,5.4159,5,287,19.6,393.68,24.6,0.19186,0.0,7.38,0.0,14.7,5.08
326,0.493,6.312,5.4159,5,287,19.6,396.9,23.0,0.30347,0.0,7.38,0.0,28.9,6.15
327,0.493,6.083,5.4159,5,287,19.6,396.9,22.2,0.24103,0.0,7.38,0.0,43.7,12.79
328,0.46,5.868,5.2146,4,430,16.9,382.44,19.3,0.06617,0.0,3.24,0.0,25.8,9.97
329,0.46,6.333,5.2146,4,430,16.9,375.21,22.6,0.06724,0.0,3.24,0.0,17.2,7.34
330,0.46,6.144,5.8736,4,430,16.9,368.57,19.8,0.04544,0.0,3.24,0.0,32.2,9.09
331,0.4379,5.706,6.6407,1,304,16.9,394.02,17.1,0.05023,35.0,6.06,0.0,28.4,12.43
332,0.4379,6.031,6.6407,1,304,16.9,362.25,19.4,0.03466,35.0,6.06,0.0,23.3,7.83
333,0.515,6.316,6.4584,5,224,20.2,389.71,22.2,0.05083,0.0,5.19,0.0,38.1,5.68
334,0.515,6.31,6.4584,5,224,20.2,389.4,20.7,0.03738,0.0,5.19,0.0,38.5,6.75
335,0.515,6.037,5.9853,5,224,20.2,396.9,21.1,0.03961,0.0,5.19,0.0,34.5,8.01
336,0.515,5.869,5.2311,5,224,20.2,396.9,19.5,0.03427,0.0,5.19,0.0,46.3,9.8
337,0.515,5.895,5.615,5,224,20.2,394.81,18.5,0.03041,0.0,5.19,0.0,59.6,10.56
338,0.515,6.059,4.8122,5,224,20.2,396.14,20.6,0.03306,0.0,5.19,0.0,37.3,8.51
339,0.515,5.985,4.8122,5,224,20.2,396.9,19.0,0.05497,0.0,5.19,0.0,45.4,9.74
340,0.515,5.968,4.8122,5,224,20.2,396.9,18.7,0.06151,0.0,5.19,0.0,58.5,9.29
341,0.442,7.241,7.0379,1,284,15.5,394.74,32.7,0.01301,35.0,1.52,0.0,49.3,5.49
342,0.518,6.54,6.2669,1,422,15.9,389.96,16.5,0.02498,0.0,1.89,0.0,59.7,8.65
343,0.484,6.696,5.7321,5,370,17.6,396.9,23.9,0.02543,55.0,3.78,0.0,56.4,7.18
344,0.484,6.874,6.4654,5,370,17.6,387.97,31.2,0.03049,55.0,3.78,0.0,28.1,4.61
345,0.442,6.014,8.0136,3,352,18.8,385.64,17.5,0.03113,0.0,4.39,0.0,48.5,10.53
346,0.442,5.898,8.0136,3,352,18.8,364.61,17.2,0.06162,0.0,4.39,0.0,52.3,12.67
347,0.429,6.516,8.5353,4,351,17.9,392.43,23.1,0.0187,85.0,4.15,0.0,27.7,6.36
348,0.435,6.635,8.344,4,280,17.0,390.94,24.5,0.01501,80.0,2.01,0.0,29.7,5.99
349,0.429,6.939,8.7921,1,335,19.7,389.85,26.6,0.02899,40.0,1.25,0.0,34.5,5.646249234233216
350,0.429,6.49,8.7921,1,335,19.7,396.9,22.9,0.06211,40.0,1.25,0.0,44.4,4.412414040036251
351,0.411,6.579,10.7103,4,411,18.3,370.78,24.1,0.0795,60.0,1.69,0.0,35.9,5.49
352,0.411,5.884,10.7103,4,411,18.3,392.33,18.6,0.07244,60.0,1.69,0.0,18.5,7.79
353,0.41,6.728,12.1265,5,187,17.0,384.46,30.1,0.01709,90.0,2.02,0.0,36.1,4.5
354,0.413,5.663,10.5857,4,334,22.0,382.8,18.2,0.04301,80.0,1.91,0.0,21.9,8.05
355,0.413,5.936,10.5857,4,334,22.0,376.04,20.6,0.10659,80.0,1.91,0.0,56.947091111624694,5.57
356,0.77,6.212,2.1222,24,666,20.2,377.73,17.8,8.98296,0.0,18.1,1.0,97.4,17.6
357,0.77,6.395,2.5052,24,666,20.2,391.34,21.7,3.8497,0.0,18.1,1.0,91.0,13.27
358,0.77,6.127,2.7227,24,666,20.2,395.43,22.7,5.20177,0.0,18.1,1.0,83.4,11.48
359,0.77,6.112,2.5091,24,666,20.2,390.74,22.6,4.26131,0.0,18.1,0.0,81.3,12.67
360,0.77,6.398,2.5182,24,666,20.2,374.56,25.0,4.54192,0.0,18.1,0.0,88.0,7.79
361,0.77,6.251,2.2955,24,666,20.2,350.65,19.9,3.83684,0.0,18.1,0.0,91.1,14.19
362,0.77,5.362,2.1036,24,666,20.2,380.79,20.8,3.67822,0.0,18.1,0.0,96.2,10.19
363,0.77,5.803,1.9047,24,666,20.2,353.04,16.8,4.22239,0.0,18.1,1.0,89.0,14.64
364,0.718,8.78,1.9047,24,666,20.2,354.55,21.9,3.47428,0.0,18.1,1.0,82.9,5.29
365,0.718,3.561,1.6132,24,666,20.2,354.7,27.5,4.55587,0.0,18.1,0.0,87.9,7.12
366,0.718,4.963,1.7523,24,666,20.2,316.03,21.9,3.69695,0.0,18.1,0.0,91.4,14.0
367,0.631,3.863,1.5106,24,666,20.2,131.42,23.1,13.5222,0.0,18.1,0.0,100.0,13.33
368,0.631,4.97,1.3325,24,666,20.2,375.52,50.0,4.89822,0.0,18.1,0.0,100.1869307833908,3.26
369,0.631,6.683,1.3567,24,666,20.2,375.33,50.0,2.8517742659432597,0.0,18.1,1.0,96.8,3.73
370,0.631,7.016,1.2024,24,666,20.2,392.05,50.0,6.53876,0.0,18.1,1.0,97.5,2.96
371,0.631,6.216,1.1691,24,666,20.2,366.15,50.0,9.2323,0.0,18.1,0.0,100.0,9.53
372,0.668,5.875,1.1296,24,666,20.2,347.88,50.0,8.26725,0.0,18.1,1.0,89.6,8.88
373,0.668,4.906,1.1742,24,666,20.2,396.9,13.8,11.1081,0.0,18.1,0.0,100.0,34.77
374,0.668,4.138,1.137,24,666,20.2,396.9,13.8,18.4982,0.0,18.1,0.0,100.0,37.97
375,0.671,7.313,1.3163,24,666,20.2,396.9,15.0,19.6091,0.0,18.1,0.0,97.9,13.44
376,0.671,6.649,1.3449,24,666,20.2,363.02,13.9,15.288,0.0,18.1,0.0,93.3,11.511982813571423
377,0.671,6.794,1.358,24,666,20.2,396.9,13.3,9.82349,0.0,18.1,0.0,98.8,21.24
378,0.671,6.38,1.3861,24,666,20.2,396.9,13.1,23.6482,0.0,18.1,0.0,96.2,23.69
379,0.671,6.223,1.3861,24,666,20.2,393.74,10.2,17.8667,0.0,18.1,0.0,100.0,21.78
380,0.671,6.968,1.4165,24,666,20.2,396.9,10.4,88.9762,0.0,18.1,0.0,91.9,17.21
381,0.671,6.545,1.5192,24,666,20.2,396.9,10.9,15.8744,0.0,18.1,0.0,99.1,21.08
382,0.7,5.536,1.5804,24,666,20.2,396.9,11.3,9.18702,0.0,18.1,0.0,100.0,23.6
383,0.7,5.52,1.5331,24,666,20.2,396.9,12.3,7.99248,0.0,18.1,0.0,100.0,27.33352202124334
384,0.7,4.368,1.4395,24,666,20.2,285.83,8.8,20.0849,0.0,18.1,0.0,91.2,30.63
385,0.7,5.277,1.4261,24,666,20.2,396.9,7.2,16.8118,0.0,18.1,0.0,98.1,30.81
386,0.7,4.652,1.4672,24,666,20.2,396.9,10.5,24.3938,0.0,18.1,0.0,100.0,28.28
387,0.7,5.0,1.5184,24,666,20.2,396.9,7.4,22.5971,0.0,18.1,0.0,89.5,31.99
388,0.7,4.88,1.5895,24,666,20.2,372.92,10.2,14.3337,0.0,18.1,0.0,100.0,30.62
389,0.7,5.39,1.7281,24,666,20.2,396.9,11.5,8.15174,0.0,18.1,0.0,98.9,20.85
390,0.7,5.713,1.9265,24,666,20.2,394.43,15.1,6.96215,0.0,18.1,0.0,97.0,17.11
391,0.7,6.051,2.1678,24,666,20.2,378.38,23.2,5.29305,0.0,18.1,0.0,82.5,18.76
392,0.7,5.036,1.77,24,666,20.2,396.9,9.7,11.5779,0.0,18.1,0.0,97.0,25.68
393,0.693,6.193,1.7912,24,666,20.2,396.9,13.8,14.167872917940853,0.0,18.1,0.0,92.6,15.17
394,0.693,5.887,1.7821,24,666,20.2,396.9,12.7,11.596060953630612,0.0,18.1,0.0,94.7,16.35
395,0.693,6.471,1.7257,24,666,20.2,391.98,13.1,8.71675,0.0,18.1,0.0,98.8,17.12
396,0.693,6.405,1.6768,24,666,20.2,396.9,12.5,5.87205,0.0,18.1,0.0,96.0,19.37
397,0.693,5.747,1.6334,24,666,20.2,393.1,8.5,7.67202,0.0,18.1,0.0,98.9,19.92
398,0.693,5.453,1.4896,24,666,20.2,396.9,5.0,38.3518,0.0,18.1,0.0,100.0,30.59
399,0.693,5.852,1.5004,24,666,20.2,338.16,6.3,9.91655,0.0,18.1,0.0,77.8,29.97
400,0.693,5.987,1.5888,24,666,20.2,396.9,5.6,25.0461,0.0,18.1,0.0,100.0,26.77
401,0.693,6.343,1.5741,24,666,20.2,396.9,7.2,14.2362,0.0,18.1,0.0,100.0,20.32
402,0.693,6.404,1.639,24,666,20.2,376.11,12.1,9.59571,0.0,18.1,0.0,100.0,20.31
403,0.693,5.349,1.7028,24,666,20.2,396.9,8.3,24.8017,0.0,18.1,0.0,96.0,19.77
404,0.693,5.531,1.6074,24,666,20.2,329.46,8.5,41.5292,0.0,18.1,0.0,85.4,27.38
405,0.693,5.683,1.4254,24,666,20.2,384.97,5.0,67.9208,0.0,18.1,0.0,100.0,22.98
406,0.659,4.138,1.1781,24,666,20.2,370.22,11.9,20.7162,0.0,18.1,0.0,100.0,23.34
407,0.659,5.608,1.2852,24,666,20.2,332.09,27.9,11.9511,0.0,18.1,0.0,100.0,26.180855958685434
408,0.597,5.617,1.4547,24,666,20.2,314.64,17.2,7.40389,0.0,18.1,0.0,97.9,26.4
409,0.597,6.852,1.4655,24,666,20.2,179.36,27.5,36.44681280919681,0.0,18.1,0.0,100.0,19.78
410,0.597,5.757,1.413,24,666,20.2,2.6,15.0,51.1358,0.0,18.1,0.0,100.0,10.11
411,0.597,6.657,1.5275,24,666,20.2,35.05,17.2,14.0507,0.0,18.1,0.0,100.0,21.22
412,0.597,4.628,1.5539,24,666,20.2,28.79,17.9,18.811,0.0,18.1,0.0,100.0,34.37
413,0.597,5.155,1.5894,24,666,20.2,210.97,16.3,28.6558,0.0,18.1,0.0,100.0,20.08
414,0.693,4.519,1.6582,24,666,20.2,88.27,7.0,45.7461,0.0,18.1,0.0,100.0,36.98
415,0.679,6.434,1.8347,24,666,20.2,27.25,7.2,18.0846,0.0,18.1,0.0,100.0,29.05
416,0.679,6.782,1.8195,24,666,20.2,21.57,7.5,10.8342,0.0,18.1,0.0,90.8,25.79
417,0.679,5.304,1.6475,24,666,20.2,127.36,10.4,25.9406,0.0,18.1,0.0,89.1,26.64
418,0.679,5.957,1.8026,24,666,20.2,16.45,8.8,73.5341,0.0,18.1,0.0,100.0,20.62
419,0.718,6.824,1.794,24,666,20.2,48.45,8.4,11.8123,0.0,18.1,0.0,76.5,22.74
420,0.718,6.411,1.8589,24,666,20.2,318.75,16.7,11.0874,0.0,18.1,0.0,100.0,15.02
421,0.718,6.006,1.8746,24,666,20.2,319.98,14.2,7.02259,0.0,18.1,0.0,95.3,15.7
422,0.614,5.648,1.9512,24,666,20.2,291.55,20.8,12.0482,0.0,18.1,0.0,87.6,14.1
423,0.614,6.103,2.0218,24,666,20.2,2.52,13.4,7.05042,0.0,18.1,0.0,70.97231695114071,23.29
424,0.584,5.565,2.0635,24,666,20.2,3.65,11.7,8.79212,0.0,18.1,0.0,70.6,17.16
425,0.679,5.896,1.9096,24,666,20.2,7.68,8.3,15.8603,0.0,18.1,0.0,95.4,24.39
426,0.584,5.837,1.9976,24,666,20.2,24.65,10.2,34.796720610370976,0.0,18.1,0.0,59.7,15.69
427,0.679,6.202,1.8629,24,666,20.2,18.82,10.9,37.6619,0.0,18.1,0.0,78.7,14.52
428,0.679,6.193,1.9356,24,666,20.2,96.73,11.0,7.36711,0.0,18.1,0.0,78.1,21.52
429,0.679,6.38,1.9682,24,666,20.2,60.72,9.5,9.33889,0.0,18.1,0.0,78.43716976737329,24.08
430,0.584,6.348,2.0527,24,666,20.2,83.45,14.5,11.925763404748139,0.0,18.1,0.0,86.1,17.64
431,0.584,6.833,2.0882,24,666,20.2,81.33,14.1,10.0623,0.0,18.1,0.0,94.3,19.69
432,0.584,6.425,2.2004,24,666,20.2,97.95,16.1,6.44405,0.0,18.1,0.0,74.8,12.03
433,0.713,6.436,2.3158,24,666,20.2,100.19,14.3,5.58107,0.0,18.1,0.0,87.9,16.22
434,0.713,6.208,2.2222,24,666,20.2,100.63,11.7,13.9134,0.0,18.1,0.0,95.0,15.17
435,0.74,6.629,2.1247,24,666,20.2,109.85,13.4,11.1604,0.0,18.1,0.0,94.6,23.27
436,0.74,6.461,2.0026,24,666,20.2,27.49,9.6,14.4208,0.0,18.1,0.0,93.3,18.05
437,0.74,6.152,1.9142,24,666,20.2,9.32,8.7,15.1772,0.0,18.1,0.0,100.0,26.45
438,0.74,5.935,1.8206,24,666,20.2,68.95,8.4,13.6781,0.0,18.1,0.0,87.9,34.02
439,0.74,5.627,1.8172,24,666,20.2,396.9,12.8,9.39063,0.0,18.1,0.0,93.9,22.88
440,0.74,5.818,1.8662,24,666,20.2,391.45,10.5,22.0511,0.0,18.1,0.0,92.4,15.537169542183616
441,0.74,6.406,2.0651,24,666,20.2,385.96,17.1,9.72418,0.0,18.1,0.0,97.2,15.333059854325528
442,0.74,6.219,2.0048,24,666,20.2,395.69,18.4,5.66637,0.0,18.1,0.0,100.0,16.59
443,0.74,6.485,1.9784,24,666,20.2,386.73,15.4,9.96654,0.0,18.1,0.0,100.0,18.85
444,0.74,5.854,1.8956,24,666,20.2,240.52,10.8,12.8023,0.0,18.1,0.0,96.6,23.79
445,0.74,6.459,1.9879,24,666,20.2,43.06,11.8,10.6718,0.0,18.1,0.0,94.8,23.98
446,0.74,6.341,2.072,24,666,20.2,318.01,14.9,6.28807,0.0,18.1,0.0,96.4,17.79
447,0.74,6.251,2.198,24,666,20.2,388.52,12.6,9.92485,0.0,18.1,0.0,96.6,16.44
448,0.713,6.185,2.2616,24,666,20.2,396.9,14.1,9.32909,0.0,18.1,0.0,98.7,18.13
449,0.713,6.417,2.185,24,666,20.2,304.21,13.0,7.52601,0.0,18.1,0.0,98.3,19.31
450,0.713,6.749,2.3236,24,666,20.2,0.32,13.4,6.71772,0.0,18.1,0.0,92.6,17.44
451,0.713,6.655,2.3552,24,666,20.2,355.29,15.2,5.44114,0.0,18.1,0.0,89.23044159084415,17.73
452,0.713,6.297,2.3682,24,666,20.2,385.09,16.1,5.09017,0.0,18.1,0.0,91.8,17.27
453,0.713,7.393,2.4527,24,666,20.2,375.87,17.8,8.24809,0.0,18.1,0.0,99.3,16.74
454,0.713,6.728,2.4961,24,666,20.2,6.68,14.9,9.51363,0.0,18.1,0.0,94.1,18.71
455,0.713,6.525,2.4358,24,666,20.2,50.92,14.1,4.75237,0.0,18.1,0.0,86.5,18.13
456,0.713,5.976,2.5806,24,666,20.2,10.48,12.7,4.66883,0.0,18.1,0.0,87.9,19.01
457,0.713,5.936,2.7792,24,666,20.2,3.5,13.5,8.20058,0.0,18.1,0.0,80.3,16.94
458,0.713,6.301,2.7831,24,666,20.2,272.21,14.9,7.75223,0.0,18.1,0.0,83.7,16.23
459,0.713,6.081,2.7175,24,666,20.2,396.9,20.0,6.80117,0.0,18.1,0.0,84.4,14.7
460,0.713,6.701,2.5975,24,666,20.2,255.23,16.4,4.39439164168697,0.0,18.1,0.0,90.0,16.42
461,0.713,6.376,2.5671,24,666,20.2,391.43,17.7,3.69311,0.0,18.1,0.0,88.4,14.65
462,0.713,6.317,2.7344,24,666,20.2,396.9,19.5,6.65492,0.0,18.1,0.0,83.0,13.99
463,0.713,6.513,2.8016,24,666,20.2,393.82,20.2,5.82115,0.0,18.1,0.0,89.9,10.29
464,0.655,6.209,2.9634,24,666,20.2,396.9,21.4,7.83932,0.0,18.1,0.0,65.4,13.22
465,0.655,5.759,3.0665,24,666,20.2,334.4,19.9,6.5740778379563665,0.0,18.1,0.0,48.2,14.13
466,0.655,5.952,2.8715,24,666,20.2,22.01,19.0,3.77498,0.0,18.1,0.0,84.7,17.15
467,0.584,6.003,2.5403,24,666,20.2,331.29,19.1,4.42228,0.0,18.1,0.0,94.5,21.32
468,0.58,5.926,2.9084,24,666,20.2,368.74,19.1,15.5757,0.0,18.1,0.0,71.0,18.13
469,0.58,5.713,2.8237,24,666,20.2,396.9,20.1,13.0751,0.0,18.1,0.0,56.7,14.76
470,0.58,6.167,3.0334,24,666,20.2,396.9,19.9,4.34879,0.0,18.1,0.0,84.0,16.29
471,0.532,6.229,3.0993,24,666,20.2,395.33,19.6,4.03841,0.0,18.1,0.0,90.7,12.87
472,0.58,6.437,2.8965,24,666,20.2,393.37,23.2,3.56868,0.0,18.1,0.0,75.0,14.36
473,0.614,6.98,2.5329,24,666,20.2,374.68,29.8,4.64689,0.0,18.1,0.0,67.6,15.17486249656615
474,0.584,5.427,2.4298,24,666,20.2,352.58,13.8,8.05579,0.0,18.1,0.0,95.4,18.14
475,0.584,6.162,2.206,24,666,20.2,302.76,13.3,6.39312,0.0,18.1,0.0,97.4,24.1
476,0.614,6.484,2.3053,24,666,20.2,396.21,16.7,4.87141,0.0,18.1,0.0,93.6,18.68
477,0.614,5.304,2.1007,24,666,20.2,349.48,12.0,15.0234,0.0,18.1,0.0,97.3,24.91
478,0.614,6.185,2.1705,24,666,20.2,379.7,14.6,10.233,0.0,18.1,0.0,96.7,18.03
479,0.614,6.229,1.9512,24,666,20.2,383.32,21.4,14.3337,0.0,18.1,0.0,88.0,13.11
480,0.532,6.242,3.4242,24,666,20.2,396.9,23.0,5.82401,0.0,18.1,0.0,64.7,10.74
481,0.532,6.75,3.3317,24,666,20.2,393.07,23.7,5.70818,0.0,18.1,0.0,74.9,7.74
482,0.532,7.061,3.4106,24,666,20.2,395.28,25.0,5.73116,0.0,18.1,0.0,77.0,7.01
483,0.532,5.762,4.0983,24,666,20.2,392.92,21.8,2.81838,0.0,18.1,0.0,40.3,10.42
484,0.583,5.871,3.724,24,666,20.2,370.73,20.6,2.37857,0.0,18.1,0.0,41.9,13.34
485,0.583,6.312,3.9917,24,666,20.2,388.62,21.2,3.67367,0.0,18.1,0.0,51.9,10.58
486,0.583,6.114,3.5459,24,666,20.2,392.68,19.1,5.69175,0.0,18.1,0.0,79.8,14.98
487,0.583,5.905,3.1523,24,666,20.2,388.22,20.6,4.83567,0.0,18.1,0.0,53.2,11.45
488,0.609,5.454,1.8209,4,711,20.1,395.09,15.2,0.15086,0.0,27.74,0.0,92.7,18.06
489,0.609,5.414,1.7554,4,711,20.1,344.05,7.0,0.18337,0.0,27.74,0.0,98.3,23.97
490,0.609,5.093,1.8226,4,711,20.1,318.43,8.1,0.20746,0.0,27.74,0.0,98.0,29.68
491,0.609,5.983,1.8681,4,711,20.1,390.11,13.6,0.10574,0.0,27.74,0.0,98.8,18.07
492,0.609,5.983,2.1099,4,711,20.1,396.9,20.1,0.11132,0.0,27.74,0.0,83.5,13.35
